Data,CUB_SC,INCC,IGPM,IPCA,INPC,SELIC,USD
2018-05-01,0.49,0.23,1.38,0.4,0.43,0.52,6.708730741012459
2018-06-01,1.45,0.97,1.87,1.26,1.43,0.52,3.7705233629438117
2018-07-01,0.4,0.61,0.51,0.33,0.25,0.54,1.4735503021308105
2018-08-01,0.67,0.15,0.7,-0.09,0.0,0.57,2.637902214793142
2018-09-01,0.24,0.23,1.52,0.48,0.3,0.47,4.750877907272644
2018-10-01,0.23,0.35,0.89,0.45,0.4,0.54,-8.69913761690757
2018-11-01,0.15,0.13,-0.49,-0.21,-0.25,0.49,0.752979991485736
2018-12-01,0.26,0.13,-1.08,0.15,0.14,0.49,2.598568674571511
2019-01-01,0.19,0.49,0.01,0.32,0.36,0.54,-3.6910246840493266
2019-02-01,0.42,0.09,0.88,0.43,0.54,0.49,-0.4837373386428645
2019-03-01,0.24,0.31,1.26,0.75,0.77,0.47,3.3005693414974724
2019-04-01,0.17,0.38,0.92,0.57,0.6,0.52,1.2920837124658746
2019-05-01,1.41,0.03,0.45,0.13,0.15,0.54,2.702633335044413
2019-06-01,1.02,0.88,0.8,0.01,0.01,0.47,-3.5661626889916254
2019-07-01,0.39,0.58,0.4,0.19,0.1,0.57,-2.060225976987662
2019-08-01,0.34,0.42,-0.67,0.11,0.12,0.5,6.368904294446054
2019-09-01,0.18,0.46,-0.01,-0.04,-0.05,0.46,2.5248756218905655
2019-10-01,0.17,0.18,0.68,0.1,0.04,0.48,-0.8370738808686218
2019-11-01,0.65,0.04,0.3,0.51,0.54,0.38,1.671152434548584
2019-12-01,0.18,0.21,2.09,1.15,1.22,0.37,-1.0998002550959063
2020-01-01,0.44,0.38,0.48,0.21,0.19,0.38,0.9708974109402302
2020-02-01,0.16,0.33,-0.04,0.25,0.17,0.29,4.615013857091221
2020-03-01,0.15,0.26,1.24,0.07,0.18,0.34,12.506334945864994
2020-04-01,0.21,0.22,0.8,-0.31,-0.23,0.28,9.044001719936933
2020-05-01,0.48,0.2,0.28,-0.38,-0.25,0.24,5.9674027339642555
2020-06-01,0.42,0.34,1.56,0.26,0.3,0.21,-7.9172130276074615
2020-07-01,0.21,1.17,2.23,0.36,0.44,0.19,1.60874417888619
2020-08-01,0.32,0.72,2.74,0.24,0.36,0.16,3.42790045831598
2020-09-01,1.37,1.16,4.34,0.64,0.87,0.16,-1.1297883249102747
2020-10-01,0.77,1.73,3.23,0.86,0.89,0.16,4.191128808222988
2020-11-01,1.05,1.28,3.28,0.89,0.95,0.15,-3.6972519463898457
2020-12-01,2.63,0.7,0.96,1.35,1.46,0.16,-5.024179556277453
2021-01-01,0.71,0.89,2.58,0.25,0.27,0.15,4.092817164179108
2021-02-01,1.31,1.89,2.53,0.86,0.82,0.13,1.1257981404727113
2021-03-01,1.44,1.3,2.94,0.93,0.86,0.2,4.238899658451012
2021-04-01,1.47,0.9,1.51,0.31,0.38,0.21,-1.4877526079948966
2021-05-01,2.29,2.22,4.1,0.83,0.96,0.27,-4.8722604771579086
2021-06-01,2.4,2.16,0.6,0.53,0.6,0.31,-4.898792311617617
2021-07-01,0.95,0.85,0.78,0.96,1.02,0.36,2.4801764740952637
2021-08-01,1.2,0.46,0.66,0.87,0.88,0.43,1.8422634630674617
2021-09-01,0.98,0.51,-0.64,1.16,1.2,0.44,0.5331606908239417
2021-10-01,0.94,0.86,0.64,1.25,1.16,0.49,4.930204367672397
2021-11-01,0.5,0.67,0.02,0.95,0.84,0.59,0.30505415162453975
2021-12-01,0.52,0.35,0.87,0.73,0.73,0.77,1.7005884575932662
2022-01-01,0.43,0.71,1.82,0.54,0.67,0.73,-2.0755918887355396
2022-02-01,0.24,0.38,1.83,1.01,1.0,0.76,-6.098552610180508
2022-03-01,0.7,0.86,1.74,1.62,1.71,0.93,-4.3913327945194975
2022-04-01,0.39,0.95,1.41,1.06,1.04,0.83,-4.234763706625877
2022-05-01,2.97,2.28,0.52,0.47,0.45,1.03,4.142496847414878
2022-06-01,1.12,2.14,0.59,0.67,0.62,1.02,1.8990535004338893
2022-07-01,1.19,0.86,0.21,-0.68,-0.6,1.03,6.315852016160983
